Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
FDI_1979_-315910000,Operational,S-Ep50Sx40Pli10-25-8.8-18/E-1(09),FDI,1979,1000,55.60412238,-123.8019581,,,,SBSmk2,SBSmk2/03,,,,,,,,,,,,,,,,""
FDI_1979_-301100000,Operational,S-At70Sx30-25-13.0-18/E-1(11),FDI,1979,4000,55.91272544,-124.0934304,,,,SBSmk2,SBSmk2/01,,,,,,,,,,,,,,,,""
FDI_1979_-314380000,Operational,S-At60Sx20Pli15Acb5-34-8.9-18/E-1(09),FDI,1979,1000,55.54129134,-123.6014692,,,,SBSmk2,SBSmk2/03,,,,,,,,,,,,,,,,""
PW_1990_-123650000,Operational,S-Sx100-18-5.0-18/E-920(08),PW,1990,3000,53.51395947,-121.6262373,,,,SBSvk,SBSvk/01,,,,,,,,,,,,,,,,""
FDI_1975_-301520000,Operational,S-Ep50At30Act10Bl10-30-9.0-15/E-1(11),FDI,1975,1000,55.79122014,-123.633366,,,,SBSwk2,SBSmk2/01,,,,,,,,,,,,,,,,""
FDI_1986_-313830000,Operational,S-Bl70Ep20At10-26-8.0-15/E-1(10),FDI,1986,5000,55.23174019,-123.022624,,,,SBSwk2,SBSwk2,,,,,,,,,,,,,,,,""
CW_1989_36361,Operational,S-Ep25Pli25Sx25Hw21At4-20-7.3-20/E-743(12),CW,1989,3540,55.61142013,-128.6888169,,,,ICHmc1,ICHmc1/01,,,,,,,,,,,,,,,,""
PW_1990_-121560000,Operational,S-Sx92Bl8-12-2.1-18/I-792(00),PW,1990,3000,53.49829528,-121.7071075,,,,ESSFwk1,SBSf,,,,,,,,,,,,,,,,""
LW_1983_-581960000,Operational,LW,LW,1983,5840,54.279,-126.2679,1320,,,"","",,,,,,,,,,,,,,,,""
LW_1981_-515180000,Operational,LW,LW,1981,2586,54.4277,-126.4867,880,,,"",1,,,,,,,,,,,,,,,,""
LW_1981_-513700000,Operational,LW,LW,1981,1600,54.0153,-127.2529,1100,,,"","",,,,,,,,,,,,,,,,""
LW_1981_-500730000,Operational,LW,LW,1981,1200,53.9504,-126.4864,800,,,"",1,,,,,,,,,,,,,,,,""
LS_1988_-304340000,Operational,LS,LS,1988,,56.1472,-125.1354,,,,"",4,,,,,,,,,,,,,,,,""
