ID1,ID2,lat,long,el
1050475,CW,52.94906683,-119.3778739,
1050475,LW,52.94906683,-119.3778739,
73387,LW,53.65228311,-125.2219677,
1063653,FDI,54.70572606,-124.7809309,
96860,CW,52.36550702,-119.1313409,
105860,CW,52.3116979,-118.9469998,
-401840000,FDI,55.33316011,-127.5719546,
4237,BA,52.29458822,-126.1133717,
64293,CW,55.59448048,-127.7896842,
16565,CW,55.26898731,-127.2654911,
16656,BA,55.70195639,-128.0861947,
58105,CW,52.41331894,-118.5845266,
8768,FDI,52.38778291,-120.784141,
82903,CW,55.72505004,-127.7139319,
58705,CW,54.62408703,-128.7843386,
1051154,CW,52.92006654,-119.3442788,
1051846,CW,53.04419495,-119.5670523,
1051900,CW,53.03370134,-119.5415385,
1051900,LW,53.03370134,-119.5415385,
1051993,CW,53.04979063,-119.5793328,
1051993,LW,53.04979063,-119.5793328,
1051871,CW,53.0405261,-119.5612078,
1051871,LW,53.0405261,-119.5612078,
1050443,CW,52.98019125,-119.3229673,
63650,LS,55.75452293,-121.871041,
1060038,LW,54.11458076,-126.4299538,
1052382,FDI,54.36915304,-126.124351,
1083948,LW,53.53781677,-125.7101812,
1052348,FDI,54.36772302,-126.1361886,
1172521,LW,54.17782271,-125.7896918,
1172521,LS,54.17782271,-125.7896918,
1172530,LW,54.17867486,-125.7884924,
1172530,LS,54.17867486,-125.7884924,
1072962,FDI,54.12765091,-125.7086843,
1072963,FDI,54.1265941,-125.6809553,
1072866,FDI,53.86901118,-126.3504722,
1202991,FDI,54.11126881,-125.6344085,
1202991,LW,54.11126881,-125.6344085,
1070695,LW,54.10487075,-125.5100256,
1070691,LW,54.10773029,-125.5296129,
1070691,FDI,54.10773029,-125.5296129,
1160256,LW,54.87203726,-124.7318785,
1160255,LW,54.86924871,-124.7167696,
1082728,LW,54.84048988,-124.9019992,
1108132,FDI,52.66934889,-122.7204272,
-590510000,FDI,54.32585983,-125.5144973,
-482960000,FDI,53.01882909,-121.9150874,
-460310000,FDI,52.7598275,-123.5778611,
-406860000,FDI,55.51428363,-127.7314412,
-395240000,CW,55.73747045,-128.3518657,
-401850000,FDI,55.33590538,-127.5755626,
-385000000,FDI,55.87667651,-122.3288197,
-383940000,FDI,55.52756846,-122.472458,
-222740000,CW,55.86535497,-128.8214622,
-211960000,FDI,54.72350609,-124.8409303,
-158050000,FDI,52.01901971,-120.4038538,
-138510000,PW,53.64372885,-121.594595,
-126050000,FDI,53.4158597,-121.630491,
-123780000,FDI,53.55716689,-121.5207134,
-125020000,BA,53.50875743,-121.5632472,
