Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDC,63022,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",CW,63035,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDC,63094,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDC,CoosBayOR,A,1-0 412A,,,,,,,,,,,,,,,,,
